"","PN01272PM"
"","Índice de precios Lima Metropolitana (var% acumulada) - IPC"
Ene23,0.226446521871514
Feb23,0.521635968384112
Mar23,1.78166137776354
Abr23,2.34782378274321
May23,2.67314807392666
Jun23,2.5162945662442
Jul23,2.91720122270536
Ago23,3.30430637109292
Sep23,3.32125099767966
Oct23,2.98809426537888
Nov23,2.82016101138602
Dic23,3.23738256432406
